StockCode,Description,Week,Quantity,UnitPrice,Month,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,UnitCost,Promo
00001,Product_00001,2022-01-02,228.0,45.540000000000006,1,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-01-09,616.0,38.90404220779221,1,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-01-16,412.0,41.27844660194175,1,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-01-23,923.0,43.13092091007584,1,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-01-30,586.0,42.22993174061433,1,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-02-06,406.0,45.10899014778325,2,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-02-13,316.0,45.540000000000006,2,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-02-20,683.0,43.760600292825764,2,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-02-27,765.0,40.51235294117647,2,False,False,False,True,25.82885274725275,0
00001,Product_00001,2022-03-06,508.0,45.54,3,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-03-13,896.0,41.149609375000004,3,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-03-20,653.0,44.024333843797855,3,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-03-27,449.0,42.65135857461024,3,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-04-03,455.0,43.048087912087915,4,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-04-10,806.0,39.89486352357321,4,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-04-17,845.0,44.27211834319527,4,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-04-24,443.0,45.54000000000001,4,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-05-01,484.0,37.36665289256198,5,False,True,False,False,25.82885274725275,1
00001,Product_00001,2022-05-08,470.0,40.63395744680851,5,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-05-15,452.0,42.99946902654867,5,False,True,False,False,25.82885274725275,0
00001,Product_00001,2022-05-22,1043.0,45.53999999999999,5,False,True,False,False,25.82885274725275,0
